iter	MultiClass
0	1.000581594
1	0.923117662
2	0.8594654875
3	0.8073182094
4	0.7636319859
5	0.7254361846
6	0.692352519
7	0.6642556884
8	0.6399946724
9	0.6169900727
10	0.5972944195
11	0.5800380804
12	0.5638849797
13	0.5501524387
14	0.5373990648
15	0.5259597009
16	0.5154766671
17	0.505834413
18	0.4973332154
19	0.4890171452
20	0.4819331763
21	0.4751495683
22	0.4689839071
23	0.4626224754
24	0.4573614288
25	0.4530995714
26	0.4487550824
27	0.4453147898
28	0.4410339219
29	0.4371676363
30	0.4333823388
31	0.4293691966
32	0.4260651874
33	0.4234679098
34	0.4206035068
35	0.4177067588
36	0.4145485007
37	0.4118092069
38	0.4096317453
39	0.4070537729
40	0.4046742382
41	0.4020843954
42	0.4002092463
43	0.3985223369
44	0.3963582476
45	0.3945540016
46	0.3921501982
47	0.3901281723
48	0.3880385722
49	0.3858179678
50	0.3842500394
51	0.3819710138
52	0.3799182354
53	0.3781798221
54	0.3767207799
55	0.3747618144
56	0.3735093027
57	0.3717502467
58	0.3706274866
59	0.3693354244
60	0.3679582271
61	0.366747797
62	0.3656429338
63	0.3643924893
64	0.363101192
65	0.3619150935
66	0.3604456746
67	0.3591699989
68	0.3577163925
69	0.3561602015
70	0.3554526031
71	0.3542488554
72	0.3526075734
73	0.3516528444
74	0.3498790616
75	0.3486335052
76	0.3474035873
77	0.3459869129
78	0.345170312
79	0.3440352812
80	0.3428150845
81	0.3418852779
82	0.3409809458
83	0.3395372498
84	0.3384087506
85	0.3370754452
86	0.3358527953
87	0.3344737503
88	0.333541762
89	0.3328543902
90	0.3322328556
91	0.331122307
92	0.3303166374
93	0.329277217
94	0.3281454291
95	0.3276304574
96	0.326950491
97	0.3260459471
98	0.3250261314
99	0.323806498
100	0.3227903664
101	0.3217295476
102	0.3209353263
103	0.3201539786
104	0.3194216226
105	0.3182316048
106	0.3171555742
107	0.3161406131
108	0.3154021538
109	0.3148264048
110	0.3138756159
111	0.3130779178
112	0.3122219126
113	0.3114963647
114	0.3108565754
115	0.3099661099
116	0.3091496045
117	0.3081162446
118	0.3072172023
119	0.3063355125
120	0.305268154
121	0.304258775
122	0.3036083177
123	0.3027056212
124	0.3022893401
125	0.3014724233
126	0.3008067381
127	0.3000876928
128	0.2992174573
129	0.298643701
130	0.2977381323
131	0.2968326944
132	0.2958525561
133	0.2947122257
134	0.2941923875
135	0.2932767362
136	0.2924406104
137	0.2916114977
138	0.2904340442
139	0.2895350666
140	0.288813476
141	0.2878809739
142	0.2872855766
143	0.2864887584
144	0.2855333325
145	0.2847469048
146	0.2839523321
147	0.2833824409
148	0.2824473615
149	0.2816915802
150	0.2809262607
151	0.2800038634
152	0.2792996833
153	0.2788361314
154	0.2779926123
155	0.2772607121
156	0.2766245229
157	0.2757166539
158	0.2752807602
159	0.2744050399
160	0.2735056921
161	0.2727788715
162	0.2718003974
163	0.2711333809
164	0.2701098905
165	0.2692980771
166	0.2687822989
167	0.2680908052
168	0.2675436306
169	0.2669669498
170	0.2664000996
171	0.2659060598
172	0.2649998326
173	0.2644913357
174	0.263616529
175	0.2630795583
176	0.262555274
177	0.2619822262
178	0.2615301866
179	0.2609122048
180	0.2603758855
181	0.2599463915
182	0.2592225083
183	0.2584110784
184	0.2579021125
185	0.2570927864
186	0.2565578585
187	0.2557574987
188	0.2549390507
189	0.2544702609
190	0.2536985674
191	0.2531416227
192	0.2527813963
193	0.2520536205
194	0.2515973204
195	0.2512048739
196	0.2505604045
197	0.2499517093
198	0.2492115209
199	0.24869404
200	0.2480495313
201	0.247340443
202	0.2470209882
203	0.2466020294
204	0.2461078787
205	0.2455020206
206	0.2445573559
207	0.2437426309
208	0.24319545
209	0.2425747626
210	0.2422773603
211	0.2416314005
212	0.2412201229
213	0.240500042
214	0.2399178042
215	0.2395224498
216	0.2390891872
217	0.2385402952
218	0.2380698919
219	0.2376428814
220	0.23732204
221	0.2366998064
222	0.2360388292
223	0.2353117749
224	0.2349197209
225	0.234479542
226	0.2338981979
227	0.2334780037
228	0.2329166813
229	0.2323726897
230	0.231835193
231	0.2312884147
232	0.2306475079
233	0.2300620066
234	0.2296502594
235	0.2291869701
236	0.2286609887
237	0.2281065613
238	0.2274665023
239	0.2271893647
240	0.2266220195
241	0.2261947586
242	0.2259025451
243	0.2252819742
244	0.2245243821
245	0.2240352058
246	0.2234788356
247	0.2227809942
248	0.222341051
249	0.2217003396
250	0.2209936701
251	0.2204111948
252	0.2197166231
253	0.2192336003
254	0.2189218429
255	0.2186161696
256	0.2183271017
257	0.2177969343
258	0.2173273812
259	0.2169627899
260	0.2165284721
261	0.2161364916
262	0.21556058
263	0.2151008144
264	0.2147848619
265	0.2144273789
266	0.214170056
267	0.2137686667
268	0.2131083896
269	0.2126962306
270	0.2125353908
271	0.2122306488
272	0.2117616175
273	0.2111741732
274	0.2107512375
275	0.210441598
276	0.2101107753
277	0.2096130921
278	0.2091277317
279	0.2084686904
280	0.2078826317
281	0.2074968764
282	0.2072378101
283	0.2070210614
284	0.2064624638
285	0.2061907515
286	0.2059069306
287	0.205531104
288	0.2051045186
289	0.2046697468
290	0.2043382049
291	0.203828496
292	0.2034913244
293	0.2032502902
294	0.2028271933
295	0.202356821
296	0.2020196691
297	0.2013222879
298	0.2008187018
299	0.2006418729
300	0.200225267
301	0.1996647734
302	0.1992646124
303	0.1987113417
304	0.1982791304
305	0.1976908856
306	0.1972956754
307	0.1969845482
308	0.1967457737
309	0.1961858291
310	0.1958309188
311	0.1956314951
312	0.1952987455
313	0.194953466
314	0.1943730709
315	0.1939592758
316	0.1936044932
317	0.1930893764
318	0.1926093419
319	0.1922061945
320	0.191957745
321	0.1915533169
322	0.1910245177
323	0.1906531892
324	0.1903738466
325	0.1900303533
326	0.1898123995
327	0.1895902657
328	0.1891924604
329	0.1889926068
330	0.1887017083
331	0.1883172516
332	0.1879174605
333	0.1876904504
334	0.1873385142
335	0.1869871492
336	0.1863597267
337	0.1859848063
338	0.1856311546
339	0.1853256567
340	0.1848953867
341	0.1845301432
342	0.1840681201
343	0.1837476766
344	0.1832388236
345	0.1829612229
346	0.1825707613
347	0.182132648
348	0.1819120261
349	0.1815514026
350	0.1812036318
351	0.1808255043
352	0.1805208875
353	0.1801278416
354	0.1797608413
355	0.1793382617
356	0.1789001468
357	0.178540798
358	0.1781937
359	0.1778675212
360	0.1774635401
361	0.1770936085
362	0.1767287856
363	0.1763445237
364	0.1758523545
365	0.1756445674
366	0.1752044813
367	0.1749347341
368	0.1746575868
369	0.1743204791
370	0.1738658405
371	0.1734384402
372	0.1731892344
373	0.1729181146
374	0.1725082577
375	0.1721439182
376	0.1716524638
377	0.1714067442
378	0.1711246054
379	0.1706891854
380	0.170554784
381	0.1699914704
382	0.1696238853
383	0.169258291
384	0.1687546733
385	0.1682985766
386	0.1679509814
387	0.1676805146
388	0.1672416683
389	0.1669586975
390	0.1667651903
391	0.1662901976
392	0.1658125615
393	0.1654771387
394	0.1652447684
395	0.1648663248
396	0.1645011134
397	0.1641621055
398	0.163885376
399	0.1635687337
400	0.1632197228
401	0.1627221496
402	0.162303436
403	0.1620240259
404	0.1616680478
405	0.1614427322
406	0.1610560673
407	0.160683985
408	0.1603725107
409	0.1599968229
410	0.1596114219
411	0.1592154996
412	0.1587935571
413	0.158603259
414	0.1582970607
415	0.1578220258
416	0.157337321
417	0.1570153218
418	0.1567614118
419	0.1564224041
420	0.1561397884
421	0.1559580199
422	0.1556106915
423	0.1552249555
424	0.1547848409
425	0.1544742666
426	0.1543450601
427	0.1540094186
428	0.1535047349
429	0.1531073889
430	0.1528448622
431	0.1524829609
432	0.1519293238
433	0.1517874755
434	0.1515107602
435	0.151149966
436	0.1506582212
437	0.1503152939
438	0.1500354281
439	0.1497151605
440	0.1494367259
441	0.1492606083
442	0.1490971788
443	0.1486193858
444	0.1482083349
445	0.1477835195
446	0.1474707643
447	0.1471616836
448	0.1469438253
449	0.1466740723
450	0.1461675053
451	0.1459471623
452	0.145721028
453	0.1452884337
454	0.1450519405
455	0.1446895408
456	0.1444041806
457	0.144196904
458	0.1439645237
459	0.1436490326
460	0.1435193111
461	0.1431707124
462	0.1427830446
463	0.1424518691
464	0.1422399932
465	0.1419675438
466	0.1417701542
467	0.1414339936
468	0.1411087476
469	0.1408870346
470	0.1405039601
471	0.1402464663
472	0.1400377149
473	0.1397821263
474	0.1395329968
475	0.1390224401
476	0.1388528436
477	0.13848487
478	0.1381996035
479	0.1379987805
480	0.1375267853
481	0.1372478467
482	0.1370472205
483	0.1367784009
484	0.1366058752
485	0.1362865352
486	0.1360444521
487	0.1357580087
488	0.1355646993
489	0.1352790068
490	0.1349232741
491	0.1346432201
492	0.1344460427
493	0.1342357618
494	0.1338969267
495	0.1336467162
496	0.1334908171
497	0.1333414595
498	0.1330832198
499	0.132927668
500	0.1328098986
501	0.13248628
502	0.1321732769
503	0.1318094772
504	0.1315385866
505	0.1313549998
506	0.1311147207
507	0.1308826547
508	0.1306546037
509	0.1304863952
510	0.1303842677
511	0.130213913
512	0.1300383629
513	0.1297046342
514	0.1294470947
515	0.1291909697
516	0.1289320986
517	0.1286686039
518	0.1283778625
519	0.1281609144
520	0.1278274142
521	0.1274693147
522	0.1271778004
523	0.1269061481
524	0.1267433687
525	0.1264863291
526	0.1262527744
527	0.1259815343
