iter	Passed	Remaining
0	28	289519
1	54	273732
2	81	271204
3	107	269824
4	134	268774
5	159	265331
6	187	267220
7	215	268713
8	243	269814
9	271	271469
10	299	271952
11	327	272358
12	355	273052
13	381	272233
14	408	271566
15	434	271370
16	461	270782
17	487	270258
18	513	269739
19	543	271174
20	568	270186
21	595	269901
22	621	269534
23	648	269679
24	675	269361
25	700	268807
26	727	268747
27	753	268185
28	779	268021
29	804	267293
30	830	267086
31	857	266972
32	881	266258
33	906	265592
34	930	264928
35	955	264378
36	981	264137
37	1007	264172
38	1032	263701
39	1058	263527
40	1083	263148
41	1109	263032
42	1136	263072
43	1160	262643
44	1186	262480
45	1214	262870
46	1242	263140
47	1268	262897
48	1294	262889
49	1320	262700
50	1345	262432
51	1371	262313
52	1391	261171
53	1417	260973
54	1441	260673
55	1464	259950
56	1488	259601
57	1514	259559
58	1541	259663
59	1565	259262
60	1585	258286
61	1609	257894
62	1633	257650
63	1659	257540
64	1682	257109
65	1706	256818
66	1730	256458
67	1754	256306
68	1783	256718
69	1807	256341
70	1832	256184
71	1855	255843
72	1879	255596
73	1903	255287
74	1926	254885
75	1947	254231
76	1969	253840
77	1995	253832
78	2016	253254
79	2040	253025
80	2064	252790
81	2088	252601
82	2110	252165
83	2133	251878
84	2157	251598
85	2180	251310
86	2202	250919
87	2227	250869
88	2252	250817
89	2274	250463
90	2298	250282
91	2324	250337
92	2348	250194
93	2369	249708
94	2393	249549
95	2415	249219
96	2439	249074
97	2462	248831
98	2486	248681
99	2511	248569
100	2537	248680
101	2561	248548
102	2585	248386
103	2607	248115
104	2631	247997
105	2656	247947
106	2680	247825
107	2705	247785
108	2729	247693
109	2752	247487
110	2777	247407
111	2801	247274
112	2826	247240
113	2849	247112
114	2874	247078
115	2897	246890
116	2921	246760
117	2945	246629
118	2970	246597
119	2994	246491
120	3019	246488
121	3041	246199
122	3065	246165
123	3090	246080
124	3113	245942
125	3135	245722
126	3159	245608
127	3185	245689
128	3212	245815
129	3237	245788
130	3261	245702
131	3286	245692
132	3313	245801
133	3338	245741
134	3361	245638
135	3384	245456
136	3408	245346
137	3431	245200
138	3454	245031
139	3477	244911
140	3499	244652
141	3524	244636
142	3555	245041
143	3580	245006
144	3603	244874
145	3627	244804
146	3647	244437
147	3671	244381
148	3696	244355
149	3719	244238
150	3742	244112
151	3765	243938
152	3788	243804
153	3811	243642
154	3836	243674
155	3858	243476
156	3882	243355
157	3903	243125
158	3926	243002
159	3952	243046
160	3974	242855
161	3998	242797
162	4022	242703
163	4047	242753
164	4073	242759
165	4097	242720
166	4119	242540
167	4140	242288
168	4164	242228
169	4190	242274
170	4212	242113
171	4236	242047
172	4258	241892
173	4282	241792
174	4303	241584
175	4324	241365
176	4348	241318
177	4373	241288
178	4394	241089
179	4418	241045
180	4442	240976
181	4466	240945
182	4490	240848
183	4511	240679
184	4534	240537
185	4558	240500
186	4582	240459
187	4606	240386
188	4631	240411
189	4653	240222
190	4676	240120
191	4700	240087
192	4723	240016
193	4747	239951
194	4770	239864
195	4794	239784
196	4819	239784
197	4843	239765
198	4868	239745
199	4891	239660
200	4916	239651
201	4941	239640
202	4964	239548
203	4987	239468
204	5011	239434
205	5040	239637
206	5066	239674
207	5090	239613
208	5115	239614
209	5139	239586
210	5163	239532
211	5184	239324
212	5206	239225
213	5231	239184
214	5254	239111
